ship_node_org_cd,ship_node_org_nm,item_type,sort_flg,NEXT_GEN_FLAG,IP_Flag,fulmnt_channel,sales_qty
49053507,ENGLEWOOD MARKETING GROUP INC-Port Wentworth-GA-9412a56c-82dd-4d0f-8b98-3580243f8320,1P,Others,OTHER,Others,FC,571
8830797,"Sweetnight Home Co., Ltd-Ontario-CA-0d8b21b1-4078-448c-b6e2-57314e0081fd",1P,Others,OTHER,Others,FC,1
22267401,Pacific Play Tents - Los Angeles CA DC 1,1P,Others,OTHER,Others,FC,92
8199803,Meituxiuxiu Inc-Hayward-CA-3,1P,Others,OTHER,Others,FC,650
1808502,Simpson Nurseries Laa - Monticello FL,1P,Others,OTHER,Others,FC,4014
43192814,Gerojo LLC-Cranbury-NJ-df782731-d5ae-4627-943d-9580db3659a1,1P,Others,OTHER,Others,FC,70
5353536,THE SCOTTS MIRACLE-GRO COMPANY-Linden-CA-47ccec19-186c-46da-817b-f6c65e10330b,1P,Others,OTHER,Others,FC,10
83692402,Crown Mark Inc - Pomona CA,1P,Others,OTHER,Others,FC,23
26171408,"RJ BRANDS, LLC-Rialto-CA-86e8b4b8-7eee-4300-8781-c13771a653b4",1P,Others,OTHER,Others,FC,4
18838302,"GELMART INDUSTRIES, INC.-Monroe Township-NJ-2",1P,Others,OTHER,Others,FC,8
25264202,Great Lakes Technologies LLC - Eastvale CA,1P,Others,OTHER,Others,FC,611
624061,International Hanger - Portland TN,1P,Others,OTHER,Others,FC,329
61454267,SIMPLE TIRE LLC-Kirksville-MO-4b420fd2-e897-4066-bc3e-f21df40e23e1,1P,Others,OTHER,Others,FC,600
10322015,"Weifang Hongmao Furniture Co.,-Pico Rivera-CA-c34c96ec-d41d-4d2e-a1cf-ef079a151b6f",1P,Others,OTHER,Others,FC,49
47482139,ON DEMAND TIRES LLC-Bakersfield-CA-db351657-055b-4963-a0bb-29c0ac26f841,1P,Others,OTHER,Others,FC,438
1525366,24/7 Liquors - Hallandale Beach,1P,Others,OTHER,Others,FC,79
187559,American Plastic Toys Inc - Olive Branch MS,1P,Others,OTHER,Others,FC,13
12409742,Garage Hub LLC-Gardena-CA-b8f07793-146c-42ee-8199-b1da9461b53f,1P,Others,OTHER,Others,FC,22
524256,Bexco Enterprises Inc - Pico Rivera CA,1P,Others,OTHER,Others,FC,1366
3676404,Apex Medical Corporation - Brook Park OH,1P,Others,OTHER,Others,FC,117
42838611,Wayli International LLC-Perris-CA-4d8409fd-6c5d-4670-9e49-4e28c7b82940,1P,Others,OTHER,Others,FC,40
47482214,ON DEMAND TIRES LLC-Tallahassee-FL-d20f2d26-6522-463d-b215-f33b9d7c2ab6,1P,Others,OTHER,Others,FC,187
3700806,STRON USA INC.-Tacoma-WA-c7f79ae9-7d20-40c6-8988-1a2b5085eb6c,1P,Others,OTHER,Others,FC,725
42838627,Wayli International LLC-Secaucus-NJ-e26262fc-37e1-4dba-8bd1-34396b232e02,1P,Others,OTHER,Others,FC,147
106849,Conair Corporation - Glendale AZ,1P,Others,OTHER,Others,FC,537
47482185,ON DEMAND TIRES LLC-Kalamazoo-MI-f7482785-2778-4644-bc46-a607845d4139,1P,Others,OTHER,Others,FC,724
63360537,COMPTREE INC-Compton-CA-6e1eb42f-ff9b-4d53-b4c9-343908e9e8cb,1P,Others,OTHER,Others,FC,25
861974,Empire Industries Inc - Paterson NJ,1P,Others,OTHER,Others,FC,2
8830781,"Sweetnight Home Co., Ltd-Houston-TX-29bc27f2-c05f-4815-87ed-558ef5b88395",1P,Others,OTHER,Others,FC,12
31051,PHX1 Glendale AZ 3108,WFS,Sort,OTHER,Others,FC,149195
3946,ATL3n Pendergrass GA FC 4013,WFS,Others,OTHER,IP,FC,16063
825132,Topnet Inc - Vernon CA DC 1,1P,Others,OTHER,Others,FC,3458
9339822,Nexware E-Commerce LLC-Rialto-CA-198b16db-fad7-4d7a-87df-b1c2d28771a4,1P,Others,OTHER,Others,FC,5
13107103,Keurig Green Mountain Inc - Union City GA,1P,Others,OTHER,Others,FC,1
42959411,Hengjian Home Furnishing (Hong-Piscataway-NJ-c31958f4-c677-460a-9c6c-0e3bd062c634,1P,Others,OTHER,Others,FC,10477
3246910,Hudson&Canal Corp.-McDonough-GA-10,1P,Others,OTHER,Others,FC,21
600072,Fit For Life LLC - West Chester OH,1P,Others,OTHER,Others,FC,553
48286,Prima Usa Travel Inc - Commerce CA,1P,Others,OTHER,Others,FC,11
9339832,Nexware E-Commerce LLC-Mansfield-NJ-418a53cf-6861-4e3e-b749-69e5661ec36e,1P,Others,OTHER,Others,FC,14
44568,Sinowell Inc - Sugar Creek MO,1P,Others,OTHER,Others,FC,8
42668903,"Foamtex, LLC-Moreno Valley-CA-3",1P,Others,OTHER,Others,FC,44
42810702,JILCAT INDUSTRIAL MARKETING GR-Port Bolivar-TX-cec0c9b0-cc78-446b-9c1d-fac4f9a10445,1P,Others,OTHER,Others,FC,71
4572003,Skyland Inc - Fontana CA,1P,Others,OTHER,Others,FC,8
12569710,Weer Home Inc.-Savannah-GA-8572f279-4c19-4a19-8c80-541fa9510b1a,1P,Others,OTHER,Others,FC,268
47482152,ON DEMAND TIRES LLC-Denver-CO-f2a39fee-39c6-4c49-b5af-d9540affbe36,1P,Others,OTHER,Others,FC,332
31051,PHX1 Glendale AZ 3108,1P,Sort,OTHER,Others,FC,905570
7042133,US NOVA LLC-Dayton-NJ-5438ffd5-f30b-4357-8e31-a5dec46f55ab,1P,Others,OTHER,Others,FC,294
69403102,Bradshaw International Inc - Rancho Cucamonga CA,1P,Others,OTHER,Others,FC,417
10811507,WILD GROUP DEVELOPMENT INC-Lithia Springs-GA-8a31cce7-b380-462a-ab51-0da1fe91a3e0,1P,Others,OTHER,Others,FC,56
7042136,US NOVA LLC-Houston-TX-7317c202-570d-4a95-8c7b-c715a18cafbf,1P,Others,OTHER,Others,FC,4
62832621,DELTICOM NORTH AMERICA INC-Akron-OH-21,1P,Others,OTHER,Others,FC,77
4270,MEM1 Olive Branch MS FC 4301,WFS,Sort,OTHER,IP,FC,278863
47482182,ON DEMAND TIRES LLC-Grinnell-IA-caf69368-992c-4e9f-94e1-1da812a2849d,1P,Others,OTHER,Others,FC,248
3806904,ART3D LLC-Passaic-NJ-f24c8dd1-9d8e-49b2-8fef-9138f5f32005,1P,Others,OTHER,Others,FC,474
9339810,Nexware E-Commerce LLC-Bell-CA-10,1P,Others,OTHER,Others,FC,1361
40172407,MERRICK ENGINEERING INC-Corona-CA-fcba9594-6e78-4450-9804-065d2a3b712a,1P,Others,OTHER,Others,FC,1043
9718759,Henkey Inc-Montgomery-IL-93d2a718-7f4d-44fc-b47e-5e4c19e0012e,1P,Others,OTHER,Others,FC,1
62832644,DELTICOM NORTH AMERICA INC-South Bend-IN-44,1P,Others,OTHER,Others,FC,35
258601,Shany Enterprises Inc - Stafford TX,1P,Others,OTHER,Others,FC,261
42710814,"Healthcare Sc, LLC-Piscataway-NJ-14",1P,Others,OTHER,Others,FC,4
57343,BCS International Inc - Green Bay WI,1P,Others,OTHER,Others,FC,50
414875,Kidkraft - Dallas TX,1P,Others,OTHER,Others,FC,110
143110,INFINITI GROUP INTERNATIONAL-Ontario-CA-1,1P,Others,OTHER,Others,FC,64
86207176,"ALVANTOR INDUSTRY CO., LTD.-Fontana-CA-cd4cba13-2de7-41a2-8004-eaf910cb5a4f",1P,Others,OTHER,Others,FC,14
83559252,Carrolls LLC - Saint Charles MO,1P,Others,OTHER,Others,FC,268
